,0,1,2,3,4,5,6,7,8
38,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcbcgo.html,"Liels, saulains 3 - istabu dzīvoklis sakoptas fasādes mājas sēta",Cēsu 8,3,87,4/6,P. kara,"1,552 €","135,000  €"
39,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cioom.html,Pārdod ērtu 1 istabas dzīvokli pilsētas centrā. Tas atrodas sakā,Tallinas 37,1,35,5/6,Specpr.,"1,285 €","44,980  €"
40,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abhmm.html,"Cenā autostāvvieta, mēbelēts dzīvoklis tikko kapitāli renovētā, ",Valdemāra 37,3,78,4/6,Renov.,"2,048 €","159,732  €"
41,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adgfd.html,Attīstītājs uzsāk dzīvokļu rezervāciju pilnībā renovētā mājā paš,Avotu 4,2,27,2/5,Renov.,"1,858 €","50,175  €"
42,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bmgmc.html,"Atjaunota fasāde. Mājai pilnībā nomainītas visas komunikācijas, ",Avotu 66a,2,30,2/5,Renov.,"1,867 €","56,000  €"
43,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aojgc.html,"Pārdodam saulainu, gaišu un mājīgu studio tipa dzīvokli ar mēbel",Tallinas 41/43,1,30,1/2,Staļina,933 €,"28,000  €"
44,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cokgc.html,"Rus
Чтобы узнать о других квартирах в доме, звоните. 
Мы начин",Avotu 4,2,22,2/5,Jaun.,"1,860 €","40,925  €"
45,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adncd.html,"Предлагаем для продажи солнечную, благоустроенную, эксклюзивную ",Brīvības 48,4,136,4/5,P. kara,"1,441 €","196,000  €"
46,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aklli.html,Предлагаем для продажи солнечную 4-комнатную квартиру с белой от,Ganu 6,4,115,1/6,Renov.,"1,148 €","132,000  €"
47,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ghnml.html,"Īpašnieks pārdot mājīgu, saulainu 2- istabu dzīvokli. 
+ divas ",Artilērijas 59,2,40,2/2,P. kara,"1,125 €","45,000  €"
48,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gdnfc.html,"Laba cena par dzīvokli izcilā vietā. 
Panorāmas skats no logiem",Teātra 12,5,136,6/7,P. kara,"2,316 €","315,000  €"
49,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adfle.html,Īpašnieks pārdod vienistabas dzīvokli preti parkam. Krāsns apkur,Pērnavas 56,1,24,1/3,Specpr.,292 €,"7,000  €"
50,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aicfd.html,Продается полностью готовая к эксплуатации квартира вместе с меб,Sapieru 3,1,30,1/5,Jaun.,"1,700 €","51,000  €"
51,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aellx.html,"Продается просторная, светлая, роскошная квартира с эксклюзивным",Cēsu 43,3,71,1/5,P. kara,"1,732 €","123,000  €"
52,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/exfoj.html,"Logi uz sētu, gāzes apkure, saulains, pilnīgi aprīkots. Viss pēc",Maskavas 22,3,50,2/5,P. kara,"1,136 €","56,800  €"
53,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/epejm.html,"Pirmais augstais stāvs, gāzes apkure, pilnīgi aprīkots. Viss pēc",Maskavas 79,2,40,2/5,P. kara,983 €,"39,300  €"
54,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hemcj.html,"Eng
Apartment reservation has been started in a completely reno",Avotu 4,2,27,2/5,Jaun.,"1,672 €","45,150  €"
55,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/chhje.html,"Rus
Мы начинаем резервацию квартир в реновированном доме в само",Avotu 4,1,20,3/5,Renov.,"2,076 €","41,510  €"
56,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eikck.html,Skaisti renovētā ēka ir novietota mierīgā sānieliņā blakus „Baro,Elku 4,2,53,3/5,Renov.,"2,074 €","109,900  €"
57,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aefif.html,Mēbelēts dzīvoklis klasiska stila piekritējiem. Atrašanās vieta ,Eksporta 8,3,110,1/2,Jaun.,"1,727 €","190,000  €"
58,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cxlfb.html,Gaišs 2-istabu dzīvoklis Rīgas centrā. Arhitekta Eižena Laubes 1,Lāčplēša 48,2,58,2/6,Renov.,"2,034 €","118,000  €"
59,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/enmii.html,"Apartment reservation has been started in a renovated building, ",Avotu 4,2,38,2/5,Jaun.,"1,711 €","65,000  €"
60,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abeeo.html,Продается 2 комнатная квартира 70 кв. м. на 5 этаже. Окна выходя,Ausekļa 7,2,70,5/6,P. kara,"3,571 €","250,000  €"
61,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adkci.html,Владелец начинает продажу квартир в здании проектированном знаме,Avotu 4,1,26,2/5,P. kara,"1,661 €","43,190  €"
62,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cecjd.html,"Pārdodu mansarda dzīvokli tikko pēc kapitālā remonta:

+ koka ",Miera 105,3,71,6/6,Renov.,"1,823 €","129,402  €"
63,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bepeij.html,"Pārdod 48, 7 kvadrātmetrus plašu divu izolētu istabu dzīvokli, k",Alūksnes 2,2,49,3/5,Staļina,"1,388 €","68,000  €"
64,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bmghm.html,"Kompakts 3 istabu dzīvoklis renovētā ēkā. 
Dzīvoklis ir izvieto",Blaumaņa 12,3,64,4/6,Renov.,"2,382 €","152,475  €"
65,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ebjkm.html,"Pārdod 4 istabu dzīvokli Rīgas vēsturiskajā centrā, Dzirnavu iel",Dzirnavu 66A,4,102,2/6,P. kara,"1,765 €","180,000  €"
66,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/binmn.html,Tiek pārdots plašs divistabu dzīvoklis ar visu nepieciešamo sadz,Lugažu 12,2,66,2/2,Staļina,985 €,"65,000  €"
67,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fjbfh.html,Продается 1-комнатная квартира на ул. Менесс площадью 26 кв. м. ,Mēness 11,1,26,3/3,Renov.,"1,673 €","43,500  €"
68,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/emkke.html,"Pagalma ēkā pārdod gaišu un plašu 3 istabu dzīvokli. 
-Dzīvokli",Blaumaņa 27,3,101,5/5,P. kara,"1,238 €","125,000  €"
69,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aepji.html,"Plašs un gaišs dzīvoklis Rīgas centrā. Miera ielas rajonā, specp",Hospitāļu 7,3,67,4/5,103.,"1,164 €","78,000  €"
70,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aegpm.html,"Pārdod īpašnieks. 
Mājīgs, kompakts dzīvoklis, pilnībā renovētā",Blaumaņa 23,2,61,2/5,Renov.,"1,689 €","103,000  €"
71,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dkblx.html,"Pirmajā augstajā stāvā, kapitāli remontēts, mājīgs, vienistabas ",Kazarmu 2a,1,30,1/5,P. kara,"1,297 €","38,900  €"
72,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dmepo.html,"Pārdod, 4 ist. dzīvoklis, Rīga, centrs, dzirnavu iela, 150000 €.",Dzirnavu 31,4,90,5/7,P. kara,"1,667 €","150,000  €"
73,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abxol.html,"Pārdodas četristabu dzīvoklis jaunajā projektā Albatross, blakus",Katrīnas d. 17,4,102,2/6,Jaun.,"1,175 €","119,900  €"
74,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adclx.html,"Pārdodas divistabu dzīvoklis jaunajā projektā Albatross, blakus ",Katrīnas d. 17,2,67,2/6,Jaun.,"1,193 €","79,900  €"
75,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/acihk.html,Pārdošanā tiek piedāvāts jauns 3 istabu dzīvoklis pilsētas centr,Marijas 16,3,88,6/7,P. kara,"1,589 €","139,800  €"
76,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/afcbe.html,"Dzīvoklis ar iebūvētu virtuves iekārtu ar tehniku. 
Jauns un mā",Indrānu 17,2,50,2/4,Renov.,"2,000 €","100,000  €"
77,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ejjmf.html,"Uzsākta rezervācija grupas pirkumam mājā Blaumaņa ielā 9A. 

D",Blaumaņa 9,4,103,3/6,Renov.,"1,351 €","139,185  €"
78,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/chpix.html,Mēbelēts dzīvoklis klasiska stila piekritējiem. Atrašanās vieta ,Eksporta 8,5,150,1/2,Jaun.,"1,660 €","249,000  €"
79,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/akpfx.html,"Dzīvoklis pēc kapitālā remonta Rīgas centrā. Pagalma ēka, logi i",Valdemāra 53,1,44,2/5,P. kara,"1,955 €","86,000  €"
80,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hxjgm.html,"Dzīvoklis ar autostāvvietu pagalmā Klusajā centrā, moderns, gaiš",Zaļā 10,3,87,2/5,P. kara,"1,793 €","156,000  €"
81,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dilof.html,"Piedāvāju dzīvokli nr 14. kultūrvēsturiskā ēkā Blaumana iela 12",Blaumaņa 12,3,62,1/6,Renov.,"2,228 €","138,160  €"
82,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gnbkb.html,"Piedāvāju moderni izremontētu dzīvokli, kas atrodas klusajā cent",Zaļā 10,3,86,1/5,P. kara,"1,814 €","156,000  €"
83,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajehi.html,Pārdod plašu 4-istabu dzīvokli Jūgendstila ēkā. Ēkas fasādes atj,Noliktavas 3,4,129,3/5,P. kara,"1,938 €","250,000  €"
84,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fcpoe.html,"Pārdošanā 2 līmeņu dzīvoklis renovētā ēkā. 83 m2, 5-6 stāvs. Ēka",Lāčplēša 13,3,83,5/6,Renov.,"1,978 €","164,175  €"
85,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/agmke.html,"Pārdošanā 3-istabu dzīvoklis Rīgas klusajā centrā, Dzirnavu un J",Jeruzalemes 10,3,109,6/6,Jaun.,"2,706 €","295,000  €"
86,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dbjop.html,"Uzsākta rezervācija grupas pirkumam mājā Blaumaņa ielā 9A. 

D",Blaumaņa 9,2,47,2/6,Renov.,"1,446 €","67,968  €"
87,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/egldf.html,"Zeme zem mājas īpašumā. Logi vērsti uz saulaino dienvidu pusi, f",Bruņinieku 87,2,51,2/5,P. kara,"1,412 €","72,000  €"
88,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adlbc.html,"Plašs, gaišs labiekārtots 3-istabu dzīvoklis Rīgas centrā skaist",Skolas 38,3,155,3/6,P. kara,"1,561 €","242,000  €"
89,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/epifg.html,"Pārdodu 3-istabu dzīvokli Grostonas ielā 17, vienā no labākajiem",Grostonas 17,3,94,5/8,Jaun.,"2,106 €","198,000  €"
90,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcbcgm.html,"Pārdod renovētu dzīvokli ar gāzes apkuri Rīgas Centrā. 
Dzīvokl",Ģertrūdes 113,2,43,3/7,P. kara,"1,395 €","60,000  €"
91,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ajcde.html,Pārdod vai izīrē trīs istabu dzīvoklis (telpas) krāsotāju ielā 6,Krāsotāju 6,3,83,1/3,P. kara,530 €,"44,000  €"
92,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/compd.html,Piedāvājumā dzīvoklis bez iekšējās apdares arhitekta Eižena Laub,Ģertrūdes 99,3,64,6/6,Renov.,"1,000 €","64,000  €"
93,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eiieo.html,"Продаем квартиру на улице Valmieras 30, на территории с развитой",Valmieras 30,1,20,2/2,P. kara,600 €,"12,000  €"
94,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gdije.html,"Bладелец продает красивую квартиру, тихая зеленая улица. Hовостр",Indrānu 8,2,56,2/6,Jaun.,"1,929 €","108,000  €"
95,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bekikp.html,Elegants četru istabu dzīvoklis Rīgas centrā ar mēbelēm un nepie,Artilērijas 6A,4,140,2/3,Jaun.,"2,357 €","330,000  €"
96,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abkcb.html,"Trīs istabu dzīvoklis ar pilnu apdari jaunajā projektā ""Felicity",Birznieka-Upīša 13,3,79,3/7,Jaun.,"2,456 €","194,000  €"
97,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ccodl.html,Dzīvoklis ar terasi - zaļo dārzu Rīgas pilsētas centrā jaunajā p,Birznieka-Upīša 13,3,121,1/7,Jaun.,"2,335 €","282,500  €"
98,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dmdxb.html,"Plašs, saulains divu istabu dzīvoklis ar pelēko apdari jaunajā p",Birznieka-Upīša 13,2,55,4/7,Jaun.,"2,036 €","112,000  €"
99,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/copjc.html,"Ir gāzes apkures tehniskie noteikumi, elektrība, ūdens, kanalizā",Matīsa 82,3,55,2/2,P. kara,322 €,"17,690  €"
100,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dpeco.html,Продаю уютную меблированную квартиру( думаная часть от дома и зе,Tallinas 30,1,31,1/5,P. kara,"1,452 €","45,000  €"
101,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/flgee.html,"Ērta plānojuma, gaišs trīsistabu dzīvoklis Staļina laika ēkā (19",Valdemāra 95,3,80,5/5,Staļina,"1,244 €","99,500  €"
102,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adkgl.html,Отличная светлая и теплая квартира в хорошем состоянии продается,Klusā 17a,2,56,6/6,P. kara,"1,177 €","65,900  €"
103,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fenxn.html,"В центре Риги, в тихом дворе, с небольшим участком земли, с мест",Čaka 62,3,53,1/2,P. kara,830 €,"44,000  €"
104,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bmnim.html,Ar visām mēbelēm un elektroniku tiek pārdots pilnībā gatavs liet,Ģertrūdes 135,1,26,3/5,P. kara,"1,923 €","50,000  €"
105,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gjcdi.html,"Pārdod dzīvokli, nepieciešams remonts. Dzīvoklis atrodas ļoti la",Upes 3,2,44,1/4,Hrušč.,839 €,"36,900  €"
106,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fcpxp.html,"Attīstītājs piedāvā dzīvokli renovētā ēkā, Miera ielā 5.
Ēka Mi",Miera 5,6,162,4/6,Renov.,"1,345 €","217,890  €"
107,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/agihn.html,"Attīstītājs piedāvā dzīvokli renovētā ēkā, Miera ielā 5. Dzīvokl",Miera 5,2,56,1/6,Renov.,897 €,"50,220  €"
108,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/aenfj.html,"Daļu no klusā centra savā īpašumā. 
Iespēja baudīt visas priekš",Strēlnieku 4b,1,24,2/6,Jaun.,"3,329 €","79,900  €"
109,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ebxmo.html,"Pārdod divus apvienotus dzīvokļus renovētā ēkā, tuvajā centrā. ",Dzirnavu 92,6,290,2/5,P. kara,"1,362 €","395,000  €"
110,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ejdgp.html,"Pārdošanā 3 istabu dzīvoklis ar terasi Vecrīgas sirdī. 
Dzīvokl",Grēcinieku 11A,3,92,3/7,Jaun.,"2,174 €","200,000  €"
111,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dihkn.html,"Продается. Красивая солидная, квартира, просторная и светлая, в ",Pulkv. Brieža 7,3,82,2/6,Renov.,"2,293 €","188,000  €"
112,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/agcgo.html,Piedāvājumā dzīvoklis arhitekta Eižena Laubes projektētā ēkā - Ģ,Ģertrūdes 99,2,43,3/6,Renov.,"2,033 €","87,429  €"
113,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ahllp.html,Piedāvājumā dzīvoklis arhitekta Eižena Laubes projektētā ēkā - Ģ,Ģertrūdes 99,3,55,2/6,Renov.,"2,051 €","112,794  €"
114,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/apbli.html,Dzīvoklis klusajā centrā ar plašu terasi mājā Carlo. Ēku ir proj,Zaubes 10,2,136,6/6,Jaun.,"2,096 €","285,000  €"
